Player,Position,Team,Rebounds,Assists,Steals,Blocks,Turnovers,Fantasy_Points
Coby White,PG,CHI,0,0,0,0,0,117.6
Brandon Miller,SF,CHA,0,0,0,0,0,12.7
Luka Doncic,PG,DAL,0,0,0,0,0,125.5
Naz Reid,C,MIN,0,0,0,0,0,85.2
Terry Rozier,PG,MIA,0,0,0,0,0,73.7
Jayson Tatum,PF,BOS,0,0,0,0,0,195.3
Tre Mann,PG,CHA,0,0,0,0,0,100.8
Gary Trent Jr.,SG,MIL,0,0,0,0,0,16.9
Kyle Kuzma,PF,WAS,0,0,0,0,0,43.5
Wendell Carter Jr.,C,ORL,0,0,0,0,0,85.5
Yves Missi,C,NOP,0,0,0,0,0,46.3
Andrew Wiggins,SF,GSW,0,0,0,0,0,125.5
Josh Hart,SF,NYK,0,0,0,0,0,62.3
Jonathan Kuminga,PF,GSW,0,0,0,0,0,46.5
Jaden Ivey,SG,DET,0,0,0,0,0,116.0
Amen Thompson,SF,HOU,0,0,0,0,0,40.8
Chris Boucher,PF,TOR,0,0,0,0,0,35.4
Stephen Curry,PG,GSW,0,0,0,0,0,130.2
Ayo Dosunmu,SG,CHI,0,0,0,0,0,46.3
Duncan Robinson,SF,MIA,0,0,0,0,0,10.2
Cole Anthony,PG,ORL,0,0,0,0,0,16.6
Deni Avdija,SF,POR,0,0,0,0,0,82.3
Jose Alvarado,PG,NOP,0,0,0,0,0,27.9
Aaron Gordon,PF,DEN,0,0,0,0,0,49.8
Damian Lillard,PG,MIL,0,0,0,0,0,133.4
Jamal Shead,PG,TOR,0,0,0,0,0,28.9
Dejounte Murray,SG,NOP,0,0,0,0,0,38.1
Domantas Sabonis,C,SAC,0,0,0,0,0,120.0
Austin Reaves,SG,LAL,0,0,0,0,0,130.5
Cason Wallace,SG,OKC,0,0,0,0,0,14.3
Klay Thompson,SG,DAL,0,0,0,0,0,84.5
Lonzo Ball,PG,CHI,0,0,0,0,0,14.4
Bam Adebayo,C,MIA,0,0,0,0,0,46.7
Bobby Portis,PF,MIL,0,0,0,0,0,103.5
Devin Booker,PG,PHO,0,0,0,0,0,112.1
Zion Williamson,PF,NOP,0,0,0,0,0,63.3
Keegan Murray,PF,SAC,0,0,0,0,0,83.0
Myles Turner,C,IND,0,0,0,0,0,111.5
John Collins,PF,UTA,0,0,0,0,0,55.9
Jamal Murray,PG,DEN,0,0,0,0,0,72.1
Scoot Henderson,PG,POR,0,0,0,0,0,88.0
Cody Martin,SG,CHA,0,0,0,0,0,34.6
Daniel Gafford,C,DAL,0,0,0,0,0,46.3
CJ McCollum,SG,NOP,0,0,0,0,0,147.1
Kelly Oubre Jr.,SF,PHL,0,0,0,0,0,94.9
Clint Capela,C,ATL,0,0,0,0,0,74.3
Trae Young,PG,ATL,0,0,0,0,0,167.3
Ja Morant,PG,MEM,0,0,0,0,0,103.4
Walker Kessler,C,UTA,0,0,0,0,0,72.6
Dillon Brooks,SF,HOU,0,0,0,0,0,68.3
James Harden,PG,LAC,0,0,0,0,0,151.0
Jrue Holiday,PG,BOS,0,0,0,0,0,68.3
Draymond Green,PF,GSW,0,0,0,0,0,55.6
Dennis Schroder,PG,GSW,0,0,0,0,0,116.6
Taurean Prince,SF,MIL,0,0,0,0,0,46.0
Jordan Hawkins,SG,NOP,0,0,0,0,0,72.4
Andrew Nembhard,PG,IND,0,0,0,0,0,22.4
D'Angelo Russell,PG,BKN,0,0,0,0,0,80.9
Desmond Bane,SG,MEM,0,0,0,0,0,117.3
Victor Wembanyama,C,SAS,0,0,0,0,0,80.2
Donovan Clingan,C,POR,0,0,0,0,0,38.7
Miles Bridges,SF,CHA,0,0,0,0,0,103.1
Nic Claxton,C,BKN,0,0,0,0,0,71.7
Jerami Grant,PF,POR,0,0,0,0,0,148.6
Fred VanVleet,PG,HOU,0,0,0,0,0,106.3
Dyson Daniels,SG,ATL,0,0,0,0,0,110.8
Jalen Duren,C,DET,0,0,0,0,0,98.3
Mikal Bridges,SF,NYK,0,0,0,0,0,61.7
Chris Paul,PG,SAS,0,0,0,0,0,40.4
Alperen Sengun,C,HOU,0,0,0,0,0,126.1
T.J. McConnell,PG,IND,0,0,0,0,0,41.9
Tyus Jones,PG,PHO,0,0,0,0,0,100.3
Russell Westbrook,PG,DEN,0,0,0,0,0,33.7
Jonas Valanciunas,C,WAS,0,0,0,0,0,54.6
Jakob Poeltl,C,TOR,0,0,0,0,0,88.6
Carlton Carrington,PG,WAS,0,0,0,0,0,11.1
Julian Champagnie,SF,SAS,0,0,0,0,0,21.2
Michael Porter Jr.,SF,DEN,0,0,0,0,0,60.4
Matas Buzelis,SF,CHI,0,0,0,0,0,2.4
Jaylen Brown,SF,BOS,0,0,0,0,0,143.0
Luguentz Dort,SG,OKC,0,0,0,0,0,58.2
P.J. Washington,PF,DAL,0,0,0,0,0,40.7
Nikola Jokic,C,DEN,0,0,0,0,0,137.2
Santi Aldama,PF,MEM,0,0,0,0,0,111.9
Chet Holmgren,C,OKC,0,0,0,0,0,184.8
Buddy Hield,SG,GSW,0,0,0,0,0,117.0
Malik Monk,SG,SAC,0,0,0,0,0,60.8
Tobias Harris,PF,DET,0,0,0,0,0,77.6
Tre Jones,PG,SAS,0,0,0,0,0,9.7
Jalen Johnson,PF,ATL,0,0,0,0,0,86.7
Cam Thomas,SG,BKN,0,0,0,0,0,155.2
Harrison Barnes,PF,SAS,0,0,0,0,0,58.4
De'Andre Hunter,SF,ATL,0,0,0,0,0,72.6
Kentavious Caldwell-Pope,SG,ORL,0,0,0,0,0,54.3
Tyrese Maxey,PG,PHL,0,0,0,0,0,140.9
Rui Hachimura,PF,LAL,0,0,0,0,0,99.2
Zaccharie Risacher,SF,ATL,0,0,0,0,0,9.5
Anfernee Simons,SG,POR,0,0,0,0,0,109.0
Miles McBride,PG,NYK,0,0,0,0,0,15.9
Caris LeVert,SG,CLE,0,0,0,0,0,90.3
Reed Sheppard,SG,HOU,0,0,0,0,0,11.4
Deandre Ayton,C,POR,0,0,0,0,0,107.6
Ivica Zubac,C,LAC,0,0,0,0,0,153.9
Zach Edey,C,MEM,0,0,0,0,0,52.0
Collin Sexton,SG,UTA,0,0,0,0,0,36.8
Jaden McDaniels,SF,MIN,0,0,0,0,0,12.4
Zach LaVine,SG,CHI,0,0,0,0,0,130.3
Shai Gilgeous-Alexander,PG,OKC,0,0,0,0,0,203.7
Ochai Agbaji,SF,TOR,0,0,0,0,0,34.4
Evan Mobley,PF,CLE,0,0,0,0,0,144.6
Jimmy Butler,SF,MIA,0,0,0,0,0,70.4
Jalen Wilson,PF,BKN,0,0,0,0,0,3.7
